AUDIT DE MATCHING - Evangelion 64
======================================================================

FUNCIONES CON DIFERENCIAS:
----------------------------------------------------------------------


FUNCIONES CON MATCH:
----------------------------------------------------------------------
0x01ACC8 | func_800B00C8                  |  404 bytes
0x01AE5C | func_800B025C                  |  408 bytes
0x01AFF4 | func_800B03F4                  |  148 bytes
0x01B088 | func_800B0488                  |  316 bytes
0x01B1C4 | func_800B05C4                  |  456 bytes
0x01B38C | func_800B078C                  |   56 bytes
0x01B3C4 | func_800B07C4                  |  176 bytes
0x01B474 | func_800B0874                  |  424 bytes
0x01B61C | func_800B0A1C                  |  620 bytes
0x01B888 | func_800B0C88                  |   84 bytes
0x01B8DC | func_800B0CDC                  |   32 bytes
0x01B8FC | func_800B0CFC                  |   48 bytes
0x01B92C | func_800B0D2C                  |   32 bytes
0x01B94C | func_800B0D4C                  |   12 bytes
0x01B958 | func_800B0D58                  |  296 bytes
0x01BA80 | func_800B0E80                  |  228 bytes
0x01BB64 | func_800B0F64                  |   20 bytes
0x01BB78 | func_800B0F78                  |   36 bytes
0x01BB9C | func_800B0F9C                  |  112 bytes
0x01BC0C | func_800B100C                  |  116 bytes
0x01BC80 | func_800B1080                  |   16 bytes
0x01BC90 | func_800B1090                  |   48 bytes
0x01BCC0 | func_800B10C0                  |   16 bytes
0x01BCD0 | func_800B10D0                  |   16 bytes
0x01BCE0 | func_800B10E0                  |   16 bytes
0x01BCF0 | func_800B10F0                  |   88 bytes
0x01BD48 | func_800B1148                  |   16 bytes
0x01BD58 | func_800B1158                  |   12 bytes
0x01BD64 | func_800B1164                  |   16 bytes
0x01BD74 | func_800B1174                  |   12 bytes
0x01BD80 | func_800B1180                  |  108 bytes
0x01BDEC | func_800B11EC                  |  156 bytes
0x01BE88 | func_800B1288                  |   40 bytes
0x01BEB0 | func_800B12B0                  |   12 bytes
0x01BEBC | func_800B12BC                  |   16 bytes
0x01BECC | func_800B12CC                  |   12 bytes
0x01BED8 | func_800B12D8                  |   20 bytes
0x01BEEC | func_800B12EC                  |   20 bytes
0x01BF00 | func_800B1300                  |    8 bytes
0x01BF08 | func_800B1308                  |   72 bytes
0x01BF50 | func_800B1350                  |   12 bytes
0x01BF5C | func_800B135C                  |    8 bytes
0x01BF64 | func_800B1364                  |  112 bytes
0x01BFD4 | func_800B13D4                  |   16 bytes
0x01BFE4 | func_800B13E4                  |   80 bytes
0x01C034 | func_800B1434                  |   80 bytes
0x01C084 | func_800B1484                  |   80 bytes
0x01C0D4 | func_800B14D4                  |   16 bytes
0x01C0E4 | func_800B14E4                  |  208 bytes
0x01C1B4 | func_800B15B4                  |   60 bytes
0x01C1F0 | func_800B15F0                  |   16 bytes
0x01C200 | func_800B1600                  |   68 bytes
0x01C244 | func_800B1644                  |  112 bytes
0x01C2B4 | func_800B16B4                  |   12 bytes
